t_usec,pod_position,pod_velocity,pod_acceleration,he_height,F_aero_x,F_aero_y,F_aero_z,F_brakes_x,F_brakes_y,F_brakes_z,F_gimbals_x,F_gimbals_y,F_gimbals_z,F_hover_engines_x,F_hover_engines_y,F_hover_engines_z,F_lateral_stability_x,F_lateral_stability_y,F_lateral_stability_z,F_landing_gear_x,F_landing_gear_y,F_landing_gear_z
91000,0.092870782998248455,1.9811853311651759,20.409399677369258,0.006,-0.25991891770956016,0,0,-36.161444442454965,0,0,0.0,0.0,0.0,-820.26914180128028,0,875.51952680025556,-0.019607759314878067,0,0,0.0,0.0,0.0
92000,0.094862162565487018,2.0015738033119517,20.388472146775783,0.006,-0.26535798633086249,0,0,-36.428303061940738,0,0,0.0,0.0,0.0,-827.32127572689183,0,884.44763241898318,-0.019811853311651761,0,0,0.0,0.0,0.0
93000,0.096873920193068661,2.0219414518513346,20.36764853938304,0.006,-0.2708477124720361,0,0,-36.693079848601265,0,0,0.0,0.0,0.0,-834.33906791683,0,893.36098635836413,-0.020015738033119516,0,0,0.0,0.0,0.0
94000,0.098906035109013885,2.0422883800391025,20.346928187768171,0.006,-0.27638795146889572,0,0,-36.955793208685911,0,0,0.0,0.0,0.0,-841.3227337064676,0,902.25960086404132,-0.020219414518513345,0,0,0.0,0.0,0.0
95000,0.10095848664426808,2.0626146904692844,20.326310430181728,0.006,-0.28197855979422137,0,0,-37.216461354284213,0,0,0.0,0.0,0.0,-848.2724866385164,0,911.14348827037691,-0.020422883800391027,0,0,0.0,0.0,0.0
96000,0.10303125423204261,2.0829204850797716,20.305794610487229,0.006,-0.28761939504724982,0,0,-37.47510230574516,0,0,0.0,0.0,0.0,-855.18853848177309,0,920.01266100015243,-0.020626146904692843,0,0,0.0,0.0,0.0
97000,0.10512431740716144,2.1032058651578729,20.285380078101465,0.006,-0.29331031594328583,0,0,-37.731733894061279,0,0,0.0,0.0,0.0,-862.07109924963231,0,928.86713156425719,-0.020829204850797717,0,0,0.0,0.0,0.0
98000,0.10723765580541328,2.1234709313458087,20.265066187935609,0.006,-0.29905118230342959,0,0,-37.986373763218467,0,0,0.0,0.0,0.0,-868.920377218363,0,937.70691256137127,-0.021032058651578728,0,0,0.0,0.0,0.0
99000,0.10937124916290926,2.1437157836461456,20.244852300337062,0.006,-0.30484185504442113,0,0,-38.239039372511975,0,0,0.0,0.0,0.0,-875.73657894515907,0,946.5320166776404,-0.021234709313458087,0,0,0.0,0.0,0.0
100000,0.11152507731544592,2.1639405214271776,20.224737781032001,0.006,-0.31068219616859732,0,0,-38.48974799882911,0,0,0.0,0.0,0.0,-882.51990928596445,0,955.3424566863398,-0.021437157836461457,0,0,0.0,0.0,0.0
101000,0.11369912019787363,2.1841452434282465,20.204722001068738,0.006,-0.31657206875396265,0,0,-38.738516738899143,0,0,0.0,0.0,0.0,-889.27057141307387,0,964.13824544753527,-0.021639405214271778,0,0,0.0,0.0,0.0
102000,0.11589335784347027,2.2043300477650081,20.18480433676169,0.006,-0.32251133694437067,0,0,-38.985362511511184,0,0,0.0,0.0,0.0,-895.98876683251888,0,972.91939590773268,-0.021841452434282465,0,0,0.0,0.0,0.0
103000,0.1181077703833201,2.2244950319346444,20.164984169636142,0.006,-0.32849986593981462,0,0,-39.230302059700222,0,0,0.0,0.0,0.0,-902.67469540123261,0,981.68592109952249,-0.022043300477650081,0,0,0.0,0.0,0.0
