t_usec,height
4404000,32692
4408000,32696
4412000,32699
4416000,32702
4420000,32706
4424000,32709
4428000,32712
4432000,32716
4436000,32719
4440000,32722
4444000,32726
4448000,32729
4452000,32732
4456000,32736
4460000,32739
4464000,32742
4468000,32746
4472000,32749
4476000,32752
4480000,32755
4484000,32759
4488000,32762
4492000,32765
4496000,32768
4500000,32772
4504000,32775
4508000,32778
4512000,32781
4516000,32784
4520000,32788
4524000,32791
4528000,32794
4532000,32797
4536000,32800
4540000,32803
4544000,32807
4548000,32810
4552000,32813
4556000,32816
4560000,32819
4564000,32822
4568000,32825
4572000,32828
4576000,32832
4580000,32835
4584000,32838
4588000,32841
4592000,32844
4596000,32847
4600000,32850
4604000,32853
4608000,32856
4612000,32859
4616000,32862
4620000,32865
4624000,32868
4628000,32871
4632000,32874
4636000,32877
4640000,32880
4644000,32883
4648000,32886
4652000,32889
4656000,32892
4660000,32895
4664000,32898
4668000,32901
4672000,32904
4676000,32907
4680000,32910
4684000,32913
4688000,32916
4692000,32919
4696000,32922
4700000,32925
4704000,32928
4708000,32930
4712000,32933
4716000,32936
4720000,32939
4724000,32942
4728000,32945
4732000,32948
4736000,32951
4740000,32953
4744000,32956
4748000,32959
4752000,32962
4756000,32965
4760000,32968
4764000,32970
4768000,32973
4772000,32976
4776000,32979
4780000,32982
4784000,32984
4788000,32987
4792000,32990
4796000,32993
4800000,32996
4804000,32998
4808000,33001
4812000,33004
4816000,33007
4820000,33009
4824000,33012
4828000,33015
4832000,33017
4836000,33020
4840000,33023
4844000,33026
4848000,33028
4852000,33031
4856000,33034
4860000,33036
4864000,33039
4868000,33042
4872000,33044
4876000,33047
4880000,33050
4884000,33052
4888000,33055
4892000,33058
4896000,33060
4900000,33063
4904000,33066
4908000,33068
4912000,33071
4916000,33073
4920000,33076
4924000,33079
4928000,33081
4932000,33084
4936000,33086
4940000,33089
4944000,33091
4948000,33094
4952000,33097
4956000,33099
4960000,33102
4964000,33104
4968000,33107
4972000,33109
4976000,33112
4980000,33114
4984000,33117
4988000,33119
4992000,33122
4996000,33124
5000000,33127
5004000,33129
5008000,33132
5012000,33134
5016000,33137
5020000,33139
5024000,33142
5028000,33144
5032000,33147
5036000,33149
5040000,33152
5044000,33154
5048000,33157
5052000,33159
5056000,33161
5060000,33164
5064000,33166
5068000,33169
5072000,33171
5076000,33174
5080000,33176
5084000,33178
5088000,33181
5092000,33183
5096000,33186
5100000,33188
5104000,33190
5108000,33193
5112000,33195
5116000,33197
5120000,33200
5124000,33202
5128000,33204
5132000,33207
5136000,33209
5140000,33211
5144000,33214
5148000,33216
5152000,33218
5156000,33221
5160000,33223
5164000,33225
5168000,33228
5172000,33230
5176000,33232
5180000,33235
5184000,33237
5188000,33239
5192000,33241
5196000,33244
5200000,33246
5204000,33248
5208000,33250
5212000,33253
5216000,33255
5220000,33257
5224000,33259
5228000,33262
5232000,33264
5236000,33266
5240000,33268
5244000,33271
5248000,33273
5252000,33275
5256000,33277
5260000,33279
5264000,33282
5268000,33284
5272000,33286
5276000,33288
5280000,33290
5284000,33292
5288000,33295
5292000,33297
5296000,33299
5300000,33301
5304000,33303
5308000,33305
5312000,33308
5316000,33310
5320000,33312
5324000,33314
5328000,33316
5332000,33318
5336000,33320
5340000,33322
5344000,33325
5348000,33327
5352000,33329
5356000,33331
5360000,33333
5364000,33335
5368000,33337
5372000,33339
5376000,33341
5380000,33343
5384000,33345
5388000,33347
5392000,33350
5396000,33352
5400000,33354
5404000,33356
5408000,33358
5412000,33360
5416000,33362
5420000,33364
5424000,33366
5428000,33368
5432000,33370
5436000,33372
5440000,33374
5444000,33376
5448000,33378
5452000,33380
5456000,33382
5460000,33384
5464000,33386
5468000,33388
5472000,33390
5476000,33392
5480000,33394
5484000,33396
5488000,33398
5492000,33400
5496000,33402
5500000,33404
5504000,33406
5508000,33408
5512000,33409
5516000,33411
5520000,33413
5524000,33415
5528000,33417
5532000,33419
5536000,33421
5540000,33423
5544000,33425
5548000,33427
5552000,33429
5556000,33431
5560000,33433
5564000,33434
5568000,33436
5572000,33438
5576000,33440
5580000,33442
5584000,33444
5588000,33446
5592000,33448
5596000,33449
5600000,33451
5604000,33453
5608000,33455
5612000,33457
5616000,33459
5620000,33461
5624000,33462
5628000,33464
5632000,33466
5636000,33468
5640000,33470
5644000,33472
5648000,33473
5652000,33475
5656000,33477
5660000,33479
5664000,33481
5668000,33482
5672000,33484
5676000,33486
5680000,33488
5684000,33490
5688000,33491
5692000,33493
5696000,33495
5700000,33497
5704000,33498
5708000,33500
5712000,33502
5716000,33504
5720000,33506
5724000,33507
5728000,33509
5732000,33511
5736000,33513
5740000,33514
5744000,33516
5748000,33518
5752000,33519
5756000,33521
5760000,33523
5764000,33525
5768000,33526
5772000,33528
5776000,33530
5780000,33532
5784000,33533
5788000,33535
5792000,33537
5796000,33538
5800000,33540
5804000,33542
5808000,33543
5812000,33545
5816000,33547
5820000,33548
5824000,33550
5828000,33552
5832000,33553
5836000,33555
5840000,33557
5844000,33558
5848000,33560
5852000,33562
5856000,33563
5860000,33565
5864000,33567
5868000,33568
5872000,33570
5876000,33572
5880000,33573
5884000,33575
5888000,33576
5892000,33578
5896000,33580
5900000,33581
5904000,33583
5908000,33585
5912000,33586
5916000,33588
5920000,33589
5924000,33591
5928000,33592
5932000,33594
5936000,33596
5940000,33597
5944000,33599
5948000,33600
5952000,33602
5956000,33604
5960000,33605
5964000,33607
5968000,33608
5972000,33610
5976000,33611
5980000,33613
5984000,33614
5988000,33616
5992000,33618
5996000,33619
6000000,33621
6004000,33622
6008000,33624
6012000,33625
6016000,33627
6020000,33628
6024000,33630
6028000,33631
6032000,33633
6036000,33634
6040000,33636
6044000,33637
6048000,33639
6052000,33640
6056000,33642
6060000,33643
6064000,33645
6068000,33646
6072000,33648
6076000,33649
6080000,33651
6084000,33652
6088000,33654
6092000,33655
6096000,33657
6100000,33658
6104000,33660
6108000,33661
6112000,33663
6116000,33664
6120000,33666
6124000,33667
6128000,33668
6132000,33670
6136000,33671
6140000,33673
6144000,33674
6148000,33676
6152000,33677
6156000,33679
6160000,33680
6164000,33681
6168000,33683
6172000,33684
6176000,33686
6180000,33687
6184000,33688
6188000,33690
6192000,33691
6196000,33693
6200000,33694
6204000,33695
6208000,33697
6212000,33698
6216000,33700
6220000,33701
6224000,33702
6228000,33704
6232000,33705
6236000,33707
6240000,33708
6244000,33709
6248000,33711
6252000,33712
6256000,33713
6260000,33715
6264000,33716
6268000,33718
6272000,33719
6276000,33720
6280000,33722
6284000,33723
6288000,33724
6292000,33726
6296000,33727
6300000,33728
6304000,33730
6308000,33731
6312000,33732
6316000,33734
6320000,33735
6324000,33736
6328000,33738
6332000,33739
6336000,33740
6340000,33742
6344000,33743
6348000,33744
6352000,33746
6356000,33747
6360000,33748
6364000,33749
6368000,33751
6372000,33752
6376000,33753
6380000,33755
6384000,33756
6388000,33757
6392000,33758
6396000,33760
6400000,33761
6404000,33762
6408000,33764
6412000,33765
6416000,33766
6420000,33767
6424000,33769
6428000,33770
6432000,33771
6436000,33772
6440000,33774
6444000,33775
6448000,33776
6452000,33777
6456000,33779
6460000,33780
6464000,33781
6468000,33782
6472000,33784
6476000,33785
6480000,33786
6484000,33787
6488000,33789
6492000,33790
6496000,33791
6500000,33792
6504000,33793
6508000,33795
6512000,33796
6516000,33797
6520000,33798
6524000,33800
6528000,33801
6532000,33802
6536000,33803
6540000,33804
6544000,33806
6548000,33807
6552000,33808
6556000,33809
6560000,33810
6564000,33812
6568000,33813
6572000,33814
6576000,33815
6580000,33816
6584000,33817
6588000,33819
6592000,33820
6596000,33821
6600000,33822
6604000,33823
6608000,33824
6612000,33826
6616000,33827
6620000,33828
6624000,33829
6628000,33830
6632000,33831
6636000,33833
6640000,33834
6644000,33835
6648000,33836
6652000,33837
6656000,33838
6660000,33839
6664000,33841
6668000,33842
6672000,33843
6676000,33844
6680000,33845
6684000,33846
6688000,33847
6692000,33848
6696000,33850
6700000,33851
6704000,33852
6708000,33853
6712000,33854
6716000,33855
6720000,33856
6724000,33857
6728000,33858
6732000,33860
6736000,33861
6740000,33862
6744000,33863
6748000,33864
6752000,33865
6756000,33866
6760000,33867
6764000,33868
6768000,33869
6772000,33870
6776000,33872
6780000,33873
6784000,33874
6788000,33875
6792000,33876
6796000,33877
6800000,33878
6804000,33879
6808000,33880
6812000,33881
6816000,33882
6820000,33883
6824000,33884
6828000,33885
6832000,33887
6836000,33888
6840000,33889
6844000,33890
6848000,33891
6852000,33892
6856000,33893
6860000,33894
6864000,33895
6868000,33896
6872000,33897
6876000,33898
6880000,33899
6884000,33900
6888000,64877
6892000,33902
6896000,33903
6900000,33904
6904000,33905
6908000,33906
6912000,33907
6916000,33908
6920000,33909
6924000,33910
6928000,33911
6932000,33912
6936000,33913
6940000,33914
6944000,33915
6948000,33916
6952000,33917
6956000,33918
6960000,33919
6964000,33920
6968000,33921
6972000,33922
6976000,33923
6980000,33924
6984000,33925
6988000,33926
6992000,33927
6996000,33928
7000000,33929
7004000,33930
7008000,33931
7012000,33932
7016000,33933
7020000,33934
7024000,33935
7028000,33936
7032000,33937
7036000,33938
7040000,33939
7044000,33940
7048000,33941
7052000,33942
7056000,33943
7060000,33944
7064000,33945
7068000,33946
7072000,33947
7076000,33947
7080000,33948
7084000,33949
7088000,33950
7092000,33951
7096000,33952
7100000,33953
7104000,33954
7108000,33955
7112000,33956
7116000,33957
7120000,33958
7124000,33959
7128000,33960
7132000,33961
7136000,33962
7140000,33962
7144000,33963
7148000,33964
7152000,33965
7156000,33966
7160000,33967
7164000,33968
7168000,33969
7172000,33970
7176000,33971
7180000,33972
7184000,33972
7188000,33973
7192000,33974
7196000,33975
7200000,33976
7204000,33977
7208000,33978
7212000,33979
7216000,33980
7220000,33981
7224000,33981
7228000,33982
7232000,33983
7236000,33984
7240000,33985
7244000,33986
7248000,33987
7252000,33987
7256000,33988
7260000,33989
7264000,33990
7268000,33991
7272000,33992
7276000,33993
7280000,33993
7284000,33994
7288000,33995
7292000,33996
7296000,33997
7300000,33998
7304000,33998
7308000,33999
7312000,34000
7316000,34001
7320000,34002
7324000,34002
7328000,34003
7332000,34004
7336000,34005
7340000,34006
7344000,34006
7348000,34007
7352000,34008
7356000,34009
7360000,34010
7364000,34010
7368000,34011
7372000,34012
7376000,34013
7380000,34013
7384000,34014
7388000,34015
7392000,34016
7396000,34016
7400000,34017
7404000,34018
7408000,34019
7412000,34019
7416000,34020
7420000,34021
7424000,34022
7428000,34022
7432000,34023
7436000,34024
7440000,34025
7444000,34025
7448000,34026
7452000,34027
7456000,34028
7460000,64877
7464000,34029
7468000,34030
7472000,34030
7476000,34031
7480000,34032
7484000,34033
7488000,34033
7492000,34034
7496000,34035
7500000,34035
7504000,34036
7508000,34037
7512000,34037
7516000,34038
7520000,34039
7524000,34039
7528000,34040
7532000,34041
7536000,34041
7540000,34042
7544000,34043
7548000,34043
7552000,34044
7556000,34045
7560000,34045
7564000,34046
7568000,34047
7572000,34047
7576000,34048
7580000,34049
7584000,34049
7588000,34050
7592000,34051
7596000,34051
7600000,34052
7604000,34053
7608000,34053
7612000,34054
7616000,34054
7620000,34055
7624000,34056
7628000,34056
7632000,34057
7636000,34058
7640000,34058
7644000,34059
7648000,34059
7652000,34060
7656000,34061
7660000,34061
7664000,34062
7668000,34062
7672000,34063
7676000,34064
7680000,34064
7684000,34065
7688000,34065
7692000,34066
7696000,34067
7700000,34067
7704000,34068
7708000,34068
7712000,34069
7716000,34070
7720000,34070
7724000,34071
7728000,34071
7732000,34072
7736000,34072
7740000,34073
7744000,34074
7748000,34074
7752000,34075
7756000,34075
7760000,34076
7764000,34076
7768000,34077
7772000,34077
7776000,34078
7780000,34079
7784000,34079
7788000,34080
7792000,64877
7796000,34081
7800000,34081
7804000,34082
7808000,34082
7812000,34083
7816000,34083
7820000,34084
7824000,34084
7828000,34085
7832000,34085
7836000,34086
7840000,34086
7844000,34087
7848000,34088
